created_at,tweet_id,text_clean,favorite_count,retweet_count,hashtags,url
2020-05-31 13:01:10+00:00,1267078667093577730,Here's your comprehensive how-to on Hatha. 🧘 https://t.co/7Gox3E36lk,22,7,,"[{'url': 'https://t.co/7Gox3E36lk', 'expanded_url': 'http://ow.ly/hg4b30qJJxx', 'display_url': 'ow.ly/hg4b30qJJxx', 'indices': [45, 68]}]"
2020-05-31 11:00:45+00:00,1267048366208421888,"Whether you have leftover yolks from a baking project or your carton is nearing its expiration date, a nutritionist… https://t.co/U3li9QIYNB",4,0,,"[{'url': 'https://t.co/U3li9QIYNB', 'expanded_url': 'https://twitter.com/i/web/status/1267048366208421888', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-31 09:00:31+00:00,1267018105919868929,DIY cleaners can be easy to put together + as efficacious as store-bought when you use the right recipes. 🧽 https://t.co/EVANdwW81b,16,4,,"[{'url': 'https://t.co/EVANdwW81b', 'expanded_url': 'http://ow.ly/txFI30qKqaG', 'display_url': 'ow.ly/txFI30qKqaG', 'indices': [108, 131]}]"
2020-05-31 07:00:24+00:00,1266987879286411264,"Here are seven workouts on YouTube that are great for nighttime, including a little bit of yoga, Pilates, stretchin… https://t.co/Hz8fg829Xf",30,17,,"[{'url': 'https://t.co/Hz8fg829Xf', 'expanded_url': 'https://twitter.com/i/web/status/1266987879286411264', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-31 05:00:08+00:00,1266957611037085696,Is this truly nature's *do*-it-all ingredient? 😏 https://t.co/LLtFML0OXS,2,2,,"[{'url': 'https://t.co/LLtFML0OXS', 'expanded_url': 'http://ow.ly/HxxD30qJK5W', 'display_url': 'ow.ly/HxxD30qJK5W', 'indices': [49, 72]}]"
2020-05-31 03:00:07+00:00,1266927409464520705,Even a labor of love can sometimes take a toll. 🧠 https://t.co/Wuh0YC8koh,5,1,,"[{'url': 'https://t.co/Wuh0YC8koh', 'expanded_url': 'http://ow.ly/ZvO330qKIhG', 'display_url': 'ow.ly/ZvO330qKIhG', 'indices': [50, 73]}]"
2020-05-31 01:00:17+00:00,1266897251613491202,"Once you've settled on a question to ask and a spread to use, all that's left is to give your deck a shuffle and st… https://t.co/0TywK0w2Fb",9,1,,"[{'url': 'https://t.co/0TywK0w2Fb', 'expanded_url': 'https://twitter.com/i/web/status/1266897251613491202', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-05-30 23:00:23+00:00,1266867078235127810,The key to an effective DIY blackhead mask? Naturally exfoliating ingredients to gently dissolve dead skin cells +… https://t.co/6y5vq7e6As,13,2,,"[{'url': 'https://t.co/6y5vq7e6As', 'expanded_url': 'https://twitter.com/i/web/status/1266867078235127810', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-05-30 21:00:32+00:00,1266836919134179329,We had beauty experts offer their five foolproof tips to shop for makeup online. 💄 https://t.co/rWk3iKsW2a,8,2,,"[{'url': 'https://t.co/rWk3iKsW2a', 'expanded_url': 'http://ow.ly/nC0x30qKpWp', 'display_url': 'ow.ly/nC0x30qKpWp', 'indices': [83, 106]}]"
2020-05-30 19:00:50+00:00,1266806794707505153,"Often overshadowed by oat and almond, macadamia nut milk is a dairy alternative high in healthy fats and rich in vi… https://t.co/PVbRRRsbax",7,3,,"[{'url': 'https://t.co/PVbRRRsbax', 'expanded_url': 'https://twitter.com/i/web/status/1266806794707505153', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
