created_at,tweet_id,text_clean,favorite_count,retweet_count,hashtags,url
2020-07-01 14:05:32+00:00,1278328890012950530,"Ever notice how your hair can get dry + brittle during the summer? That's sun damage. These protective, natural",3,0,,"[{'url': 'https://t.co/8NzRw4TetZ', 'expanded_url': 'https://twitter.com/i/web/status/1278328890012950530', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-07-01 13:05:37+00:00,1278313813117472768,"Bright, acidic, and antioxidant-rich, this frozen watermelon-berry margarita practically screams summer.",16,7,,"[{'url': 'https://t.co/j7bPtFJrpu', 'expanded_url': 'http://ow.ly/sL3830qV1bO', 'display_url': 'ow.ly/sL3830qV1bO', 'indices': [107, 130]}]"
2020-07-01 11:02:43+00:00,1278282883975778304,"Glowing skin, stronger nails, and fuller hair? Now that's something to write about. Turns out, many of you thought",4,5,,"[{'url': 'https://t.co/o1GOTA4YMh', 'expanded_url': 'https://twitter.com/i/web/status/1278282883975778304', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
2020-07-01 09:01:51+00:00,1278252466824458240,Great expectations or stressful expectations? Here's what the research found:,1,0,,"[{'url': 'https://t.co/vPJQEBgBBD', 'expanded_url': 'http://ow.ly/P65u30qV0TL', 'display_url': 'ow.ly/P65u30qV0TL', 'indices': [80, 103]}]"
2020-07-01 07:01:57+00:00,1278222292443594761,Bad hair day? We asked some celebrity hairstylists to *diffuse* the situation:,3,2,,"[{'url': 'https://t.co/kZkihJwGLR', 'expanded_url': 'http://ow.ly/KfH730qUDSv', 'display_url': 'ow.ly/KfH730qUDSv', 'indices': [84, 107]}]"
2020-07-01 05:00:29+00:00,1278191726465814528,Sign no. : There's an instant connection.,20,3,,"[{'url': 'https://t.co/ffZ0AxGg12', 'expanded_url': 'http://ow.ly/BSzS30qUCr8', 'display_url': 'ow.ly/BSzS30qUCr8', 'indices': [45, 68]}]"
2020-07-01 03:00:14+00:00,1278161461555200006,Become the connoisseur of your curls with these clean hair products.,10,2,,"[{'url': 'https://t.co/Vwdt3rGrZ6', 'expanded_url': 'http://ow.ly/zuNV30qUCqr', 'display_url': 'ow.ly/zuNV30qUCqr', 'indices': [71, 94]}]"
2020-07-01 01:00:58+00:00,1278131450471239680,Bonus: tips for making anger more productive.,11,3,,"[{'url': 'https://t.co/Cf7QGEq0TN', 'expanded_url': 'http://ow.ly/YLH230qUBWL', 'display_url': 'ow.ly/YLH230qUBWL', 'indices': [50, 73]}]"
2020-06-30 21:02:05+00:00,1278071331783880704,"Much like it has skin-supporting benefits for your face, it actually can be quite beneficial for the scalp as well",11,3,,"[{'url': 'https://t.co/aX340a24qG', 'expanded_url': 'https://twitter.com/i/web/status/1278071331783880704', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 20:20:14+00:00,1278060801459396608,"Theres no one size fits all approach to wellness and COVID-19. So on this , , discusses ho",10,2,mbgPodcast,"[{'url': 'https://t.co/JGnLQVP6yb', 'expanded_url': 'https://twitter.com/i/web/status/1278060801459396608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 19:02:39+00:00,1278041276135411720,"From the benefits, to the daily schedule, to exact meditation techniques here's a deep-dive on this powerful prac",14,1,,"[{'url': 'https://t.co/g2FNiyXdLG', 'expanded_url': 'https://twitter.com/i/web/status/1278041276135411720', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 17:03:12+00:00,1278011215512580096,This vegan + paleo-friendly Greek salad avoids wilting leaves by swapping lettuce for a collection of fresh veggies,16,8,,"[{'url': 'https://t.co/YrsmkrJoU7', 'expanded_url': 'https://twitter.com/i/web/status/1278011215512580096', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 16:02:34+00:00,1277995956819156994,There's another reason astaxanthin tops our list of antioxidants. Allow us to explain:,6,6,,"[{'url': 'https://t.co/N2sQQ6KCb7', 'expanded_url': 'http://ow.ly/YCTB30qV0yP', 'display_url': 'ow.ly/YCTB30qV0yP', 'indices': [89, 112]}]"
2020-06-30 15:04:13+00:00,1277981270333628416,"Bonus: delicious bon broth recipes from including a Bone Broth Bloody Mary, Turmeric Lime Broth + Pe",9,3,,"[{'url': 'https://t.co/HRWZbzumdG', 'expanded_url': 'https://twitter.com/i/web/status/1277981270333628416', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 14:03:46+00:00,1277966059727814658,A certified professional leadership coach on ways to be actively empathetic in the work environment:,10,3,,"[{'url': 'https://t.co/3q3HM8JaT4', 'expanded_url': 'http://ow.ly/6zyL30qUCgX', 'display_url': 'ow.ly/6zyL30qUCgX', 'indices': [105, 128]}]"
2020-06-30 13:03:43+00:00,1277950945519972352,Run out of exciting plant-based protein options? Don't throw a *tempeh* tantrum.,9,4,,"[{'url': 'https://t.co/ZYovRDD0MX', 'expanded_url': 'http://ow.ly/z53k30qUBfl', 'display_url': 'ow.ly/z53k30qUBfl', 'indices': [83, 106]}]"
2020-06-30 11:02:21+00:00,1277920402698838017,"We're in a coffee conundrum. Before your next order, here's everything to know about the difference between the t",6,2,,"[{'url': 'https://t.co/ILW2RY1UwN', 'expanded_url': 'https://twitter.com/i/web/status/1277920402698838017', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2020-06-30 09:01:32+00:00,1277889999778787328,Because few things feel as restorative as tucking yourself into freshly cleaned bedding at the end of the day.,19,3,,"[{'url': 'https://t.co/aztx9ikDe0', 'expanded_url': 'http://ow.ly/PzxN30qUz2N', 'display_url': 'ow.ly/PzxN30qUz2N', 'indices': [113, 136]}]"
